label group Pseudotime
RamDA_48h_C10 48h 1.30181283810203
RamDA_48h_E12 48h 1.30786295679634
RamDA_48h_H04 48h 1.32285396048225
RamDA_48h_G07 48h 1.34308686003338
RamDA_48h_D02 48h 1.34766641826507
RamDA_48h_B11 48h 1.36650082441914
RamDA_48h_E10 48h 1.37000555959348
RamDA_48h_B06 48h 1.37199469929349
RamDA_48h_A06 48h 1.39284365798097
RamDA_48h_F03 48h 1.39319354723125
RamDA_48h_A07 48h 1.3970083792794
RamDA_48h_C02 48h 1.40125370340189
RamDA_48h_H01 48h 1.40248727494338
RamDA_72h_D10 72h 1.40312052056481
RamDA_72h_F07 72h 1.41620466624142
RamDA_48h_C08 48h 1.43947137180665
RamDA_48h_H06 48h 1.44557876604126
RamDA_48h_B07 48h 1.45717248811766
RamDA_72h_A06 72h 1.45997069367555
RamDA_48h_B01 48h 1.46675229697177
RamDA_48h_C01 48h 1.47475215074771
RamDA_48h_B04 48h 1.47750566171117
RamDA_48h_E08 48h 1.48148121712067
RamDA_48h_G10 48h 1.48876647671901
RamDA_72h_F11 72h 1.491924024949
RamDA_48h_E05 48h 1.49566060625111
RamDA_48h_F01 48h 1.49649279091128
RamDA_48h_C03 48h 1.50004715948064
RamDA_48h_G11 48h 1.5151716772502
RamDA_48h_D04 48h 1.5156296201195
RamDA_48h_F08 48h 1.52658539272175
RamDA_48h_A08 48h 1.53333418488932
RamDA_48h_D10 48h 1.53447824965543
RamDA_48h_F06 48h 1.54029392165651
RamDA_48h_C11 48h 1.54258205426331
RamDA_72h_B11 72h 1.54394952273075
RamDA_48h_H11 48h 1.55009973303585
RamDA_48h_B02 48h 1.55508536789185
RamDA_48h_B09 48h 1.57398289508072
RamDA_72h_G04 72h 1.58949837103469
RamDA_48h_D05 48h 1.58960671857395
RamDA_48h_E07 48h 1.59784583362968
RamDA_72h_B10 72h 1.60525603879274
RamDA_48h_G12 48h 1.60752485598924
RamDA_72h_D08 72h 1.61331098030532
RamDA_72h_B08 72h 1.61876826538262
RamDA_48h_B10 48h 1.62746854178111
RamDA_48h_D07 48h 1.62956122009823
RamDA_48h_G09 48h 1.63103171428621
RamDA_48h_D08 48h 1.63791073621182
RamDA_72h_D05 72h 1.64251874187075
RamDA_72h_E11 72h 1.64262811746028
RamDA_48h_E06 48h 1.64278423555694
RamDA_48h_F07 48h 1.652834109529
RamDA_48h_G04 48h 1.65635519018305
RamDA_48h_G08 48h 1.65902719553706
RamDA_48h_H05 48h 1.67340809960038
RamDA_48h_H09 48h 1.67523815573712
RamDA_48h_D01 48h 1.67534121984425
RamDA_48h_F10 48h 1.68406069350523
RamDA_48h_H03 48h 1.68423334243361
RamDA_48h_C04 48h 1.69168518106003
RamDA_48h_F11 48h 1.6929104378524
