transcript_id	cluster
ENSMUST00000021692.7	7
ENSMUST00000021698.12	5
ENSMUST00000021714.7	4
ENSMUST00000021719.5	4
ENSMUST00000021728.10	1
ENSMUST00000021790.5	1
ENSMUST00000021803.9	6
ENSMUST00000021818.7	6
ENSMUST00000021832.6	4
ENSMUST00000021864.6	4
ENSMUST00000021866.8	7
ENSMUST00000021907.7	7
ENSMUST00000021920.6	4
ENSMUST00000021930.8	4
ENSMUST00000021933.7	4
ENSMUST00000021938.9	4
ENSMUST00000021940.7	4
ENSMUST00000021942.6	4
ENSMUST00000021956.8	5
ENSMUST00000021990.3	4
ENSMUST00000021993.4	7
ENSMUST00000022009.8	4
ENSMUST00000022039.5	2
ENSMUST00000022053.9	7
ENSMUST00000022062.7	6
ENSMUST00000022082.7	6
ENSMUST00000022089.8	4
ENSMUST00000022097.5	5
ENSMUST00000022098.8	6
ENSMUST00000022102.7	4
ENSMUST00000022135.14	7
ENSMUST00000022147.14	7
ENSMUST00000022153.6	7
ENSMUST00000022169.7	2
ENSMUST00000022176.14	5
ENSMUST00000022189.8	7
ENSMUST00000022242.7	7
ENSMUST00000022245.8	7
ENSMUST00000022246.8	4
ENSMUST00000022256.3	6
ENSMUST00000022268.8	5
ENSMUST00000022281.3	6
ENSMUST00000022287.5	1
ENSMUST00000022293.13	4
ENSMUST00000022296.6	4
ENSMUST00000022317.14	4
ENSMUST00000022322.15	6
ENSMUST00000022340.3	1
ENSMUST00000022341.5	6
ENSMUST00000022344.2	6
ENSMUST00000022345.6	4
ENSMUST00000022369.7	1
ENSMUST00000022378.7	1
ENSMUST00000022380.7	7
ENSMUST00000022416.14	2
ENSMUST00000022419.6	6
ENSMUST00000022429.8	4
ENSMUST00000022450.4	5
ENSMUST00000022458.10	4
ENSMUST00000022467.9	4
ENSMUST00000022496.7	6
ENSMUST00000022507.11	4
ENSMUST00000022522.14	2
ENSMUST00000022529.6	6
ENSMUST00000022536.2	5
ENSMUST00000022587.9	2
ENSMUST00000022590.3	6
ENSMUST00000022613.9	5
ENSMUST00000022623.12	1
ENSMUST00000022660.13	1
ENSMUST00000022663.5	1
ENSMUST00000022704.7	4
ENSMUST00000022705.5	4
ENSMUST00000022709.4	5
ENSMUST00000022734.7	4
ENSMUST00000022781.7	4
ENSMUST00000022784.8	6
ENSMUST00000022803.4	6
ENSMUST00000022842.14	7
ENSMUST00000022867.3	2
ENSMUST00000022875.6	1
ENSMUST00000022881.13	4
ENSMUST00000022894.13	7
ENSMUST00000022904.6	4
ENSMUST00000022909.9	7
ENSMUST00000022925.8	6
ENSMUST00000022927.9	5
ENSMUST00000022945.8	4
ENSMUST00000022960.2	6
ENSMUST00000022976.4	4
ENSMUST00000022977.13	5
ENSMUST00000022980.3	5
ENSMUST00000022993.5	4
ENSMUST00000023029.14	5
ENSMUST00000023039.14	6
ENSMUST00000023040.7	1
ENSMUST00000023048.10	7
ENSMUST00000023062.3	6
ENSMUST00000023071.6	6
ENSMUST00000023072.6	1
ENSMUST00000023085.5	2
ENSMUST00000023086.14	4
ENSMUST00000023087.12	5
ENSMUST00000023099.6	4
ENSMUST00000023100.6	3
ENSMUST00000023101.9	3
ENSMUST00000023112.11	2
ENSMUST00000023116.6	6
ENSMUST00000023117.8	7
ENSMUST00000023128.6	1
ENSMUST00000023143.13	1
ENSMUST00000023146.4	5
ENSMUST00000023150.5	2
ENSMUST00000023210.6	6
ENSMUST00000023217.9	6
ENSMUST00000023231.5	7
ENSMUST00000023269.4	5
ENSMUST00000023283.5	1
ENSMUST00000023353.3	5
ENSMUST00000023363.6	2
ENSMUST00000023396.9	4
ENSMUST00000023432.8	6
ENSMUST00000023453.7	4
ENSMUST00000023462.12	6
ENSMUST00000023467.8	4
ENSMUST00000023486.14	2
ENSMUST00000023502.4	4
ENSMUST00000023507.12	4
ENSMUST00000023510.6	5
ENSMUST00000023525.8	7
ENSMUST00000023550.7	4
ENSMUST00000023561.7	5
ENSMUST00000023564.9	7
ENSMUST00000023600.7	1
ENSMUST00000023629.8	4
ENSMUST00000023630.13	5
ENSMUST00000023666.10	2
ENSMUST00000023677.9	6
ENSMUST00000023689.10	4
ENSMUST00000023707.9	5
ENSMUST00000023727.16	7
ENSMUST00000023749.14	4
ENSMUST00000023759.4	2
ENSMUST00000023761.2	4
ENSMUST00000023762.12	1
ENSMUST00000023769.10	5
ENSMUST00000023803.6	4
ENSMUST00000023813.8	7
ENSMUST00000023830.14	4
ENSMUST00000023869.14	6
ENSMUST00000023873.11	6
ENSMUST00000023882.13	4
ENSMUST00000023913.8	6
ENSMUST00000023918.12	5
ENSMUST00000023952.8	4
ENSMUST00000023994.9	4
ENSMUST00000024011.8	2
ENSMUST00000024042.3	4
ENSMUST00000024119.10	4
ENSMUST00000024260.12	7
ENSMUST00000024594.8	4
ENSMUST00000024599.13	4
ENSMUST00000024699.2	4
ENSMUST00000024709.7	4
ENSMUST00000024727.8	5
ENSMUST00000024734.7	4
ENSMUST00000024739.13	6
ENSMUST00000024763.9	1
ENSMUST00000024783.8	5
ENSMUST00000024802.8	5
ENSMUST00000024811.7	2
ENSMUST00000024823.12	2
ENSMUST00000024839.4	2
ENSMUST00000024840.11	1
ENSMUST00000024846.12	1
ENSMUST00000024851.9	7
ENSMUST00000024873.6	4
ENSMUST00000024882.6	5
ENSMUST00000024885.8	6
ENSMUST00000024897.8	4
ENSMUST00000024905.9	2
ENSMUST00000024906.4	4
ENSMUST00000024909.14	3
ENSMUST00000024932.11	4
ENSMUST00000024954.9	1
ENSMUST00000024957.6	4
ENSMUST00000024959.9	4
ENSMUST00000024963.9	4
ENSMUST00000024967.13	2
ENSMUST00000024981.7	4
ENSMUST00000025010.13	2
ENSMUST00000025014.8	5
ENSMUST00000025045.14	6
ENSMUST00000025083.13	1
ENSMUST00000025095.7	3
ENSMUST00000025120.6	6
ENSMUST00000025163.13	6
ENSMUST00000025170.9	6
ENSMUST00000025186.14	4
ENSMUST00000025204.5	2
ENSMUST00000025217.8	6
ENSMUST00000025218.7	6
ENSMUST00000025236.8	4
