label	variable	group	Pseudotime	value	sd
RamDA_00h_D03	cluster_1	00h	0.053847339992186	-0.841558492654279	0.678301074907721
RamDA_00h_D03	cluster_2	00h	0.053847339992186	1.74136634467811	0.246988431721798
RamDA_00h_D03	cluster_3	00h	0.053847339992186	0.202342336435129	1.02652383835863
RamDA_00h_D03	cluster_4	00h	0.053847339992186	-1.575321361582	0.371960970136853
RamDA_00h_D03	cluster_5	00h	0.053847339992186	1.03592788578966	0.37275558229329
RamDA_00h_D03	cluster_6	00h	0.053847339992186	0.242342803667364	0.482895873690875
RamDA_00h_D03	cluster_7	00h	0.053847339992186	-1.06702238659185	0.510892078553322
RamDA_00h_D04	cluster_1	00h	0.140203090953866	-0.828091144891426	0.517082281890563
RamDA_00h_D04	cluster_2	00h	0.140203090953866	1.36803918435793	0.137650458502384
RamDA_00h_D04	cluster_3	00h	0.140203090953866	-0.234091583060787	0.731908692384498
RamDA_00h_D04	cluster_4	00h	0.140203090953866	-1.34597657159413	0.182853661982844
RamDA_00h_D04	cluster_5	00h	0.140203090953866	0.997683552172979	0.230047055424872
RamDA_00h_D04	cluster_6	00h	0.140203090953866	0.376687727574254	0.355276870746188
RamDA_00h_D04	cluster_7	00h	0.140203090953866	-0.585512182639406	0.42002404660597
RamDA_00h_D05	cluster_1	00h	0.08905707579166	-0.836604673928781	0.606609542824948
RamDA_00h_D05	cluster_2	00h	0.08905707579166	1.5903701548177	0.172520043671126
RamDA_00h_D05	cluster_3	00h	0.08905707579166	0.0256424347525729	0.895326442647194
RamDA_00h_D05	cluster_4	00h	0.08905707579166	-1.48657225686921	0.276249573025406
RamDA_00h_D05	cluster_5	00h	0.08905707579166	1.01741494319791	0.308953797818767
RamDA_00h_D05	cluster_6	00h	0.08905707579166	0.292600012767041	0.412510961651588
RamDA_00h_D05	cluster_7	00h	0.08905707579166	-0.881778905949293	0.439874104369511
RamDA_00h_D06	cluster_1	00h	0.100912810363347	-0.834799520501899	0.584348012818206
RamDA_00h_D06	cluster_2	00h	0.100912810363347	1.53920564645239	0.154351378392609
RamDA_00h_D06	cluster_3	00h	0.100912810363347	-0.0342655434161907	0.854665677173017
RamDA_00h_D06	cluster_4	00h	0.100912810363347	-1.45548761753679	0.248664372037516
RamDA_00h_D06	cluster_5	00h	0.100912810363347	1.01192507380358	0.28925877838535
RamDA_00h_D06	cluster_6	00h	0.100912810363347	0.310678851337611	0.394202817869713
RamDA_00h_D06	cluster_7	00h	0.100912810363347	-0.816546128440816	0.426784330928454
RamDA_00h_D07	cluster_1	00h	0.151081159991907	-0.826016438286581	0.500234179357734
RamDA_00h_D07	cluster_2	00h	0.151081159991907	1.32020700857444	0.145707936790264
RamDA_00h_D07	cluster_3	00h	0.151081159991907	-0.28948678771583	0.70098741746252
RamDA_00h_D07	cluster_4	00h	0.151081159991907	-1.31366981503247	0.173901729221821
RamDA_00h_D07	cluster_5	00h	0.151081159991907	0.994923850990612	0.215420637663045
RamDA_00h_D07	cluster_6	00h	0.151081159991907	0.39677508169494	0.350400758100331
RamDA_00h_D07	cluster_7	00h	0.151081159991907	-0.517210072684991	0.42609351264845
RamDA_00h_D08	cluster_1	00h	0.036683963641987	-0.843848168088271	0.716223460633701
RamDA_00h_D08	cluster_2	00h	0.036683963641987	1.81467193240456	0.289768191852939
RamDA_00h_D08	cluster_3	00h	0.036683963641987	0.288042567918013	1.09588863392718
RamDA_00h_D08	cluster_4	00h	0.036683963641987	-1.61749649618021	0.423967134778604
RamDA_00h_D08	cluster_5	00h	0.036683963641987	1.0456294756826	0.406696947614021
RamDA_00h_D08	cluster_6	00h	0.036683963641987	0.218902352060255	0.524416295895343
RamDA_00h_D08	cluster_7	00h	0.036683963641987	-1.15469308461627	0.560386537753125
RamDA_00h_D09	cluster_1	00h	0.145087132247404	-0.827171388546806	0.509418367868513
RamDA_00h_D09	cluster_2	00h	0.145087132247404	1.34658520318261	0.140686876927456
RamDA_00h_D09	cluster_3	00h	0.145087132247404	-0.258975773577251	0.717864503870108
RamDA_00h_D09	cluster_4	00h	0.145087132247404	-1.33158080636611	0.178245627214766
RamDA_00h_D09	cluster_5	00h	0.145087132247404	0.996380765588739	0.223369142332166
RamDA_00h_D09	cluster_6	00h	0.145087132247404	0.38560954152984	0.352780024707908
RamDA_00h_D09	cluster_7	00h	0.145087132247404	-0.555074008323063	0.422411507412022
RamDA_00h_D10	cluster_1	00h	0.100741671277306	-0.834826218592747	0.584662758191947
RamDA_00h_D10	cluster_2	00h	0.100741671277306	1.53994568437941	0.154578389828676
RamDA_00h_D10	cluster_3	00h	0.100741671277306	-0.0333991408940207	0.855240183122251
RamDA_00h_D10	cluster_4	00h	0.100741671277306	-1.45594198654156	0.249041816010143
RamDA_00h_D10	cluster_5	00h	0.100741671277306	1.01200083994292	0.289536919719961
RamDA_00h_D10	cluster_6	00h	0.100741671277306	0.310412488669752	0.394445991277793
RamDA_00h_D10	cluster_7	00h	0.100741671277306	-0.817501030014492	0.426933539613889
RamDA_00h_D11	cluster_1	00h	0.251958695042579	-0.803321113595716	0.396606019015094
RamDA_00h_D11	cluster_2	00h	0.251958695042579	0.874261242950422	0.312578352401427
RamDA_00h_D11	cluster_3	00h	0.251958695042579	-0.772870389663835	0.494719241398959
RamDA_00h_D11	cluster_4	00h	0.251958695042579	-0.979888576328018	0.28480081142615
RamDA_00h_D11	cluster_5	00h	0.251958695042579	0.986903877577516	0.172035133764777
RamDA_00h_D11	cluster_6	00h	0.251958695042579	0.609186961715144	0.400533454949506
RamDA_00h_D11	cluster_7	00h	0.251958695042579	0.171263311930504	0.557070645414443
RamDA_00h_D12	cluster_1	00h	0.194209536620278	-0.816928506461875	0.44244268786378
RamDA_00h_D12	cluster_2	00h	0.194209536620278	1.12928618412135	0.20808989409822
RamDA_00h_D12	cluster_3	00h	0.194209536620278	-0.505948161237876	0.59210611740448
RamDA_00h_D12	cluster_4	00h	0.194209536620278	-1.17734318520897	0.186747889581857
RamDA_00h_D12	cluster_5	00h	0.194209536620278	0.988595540878684	0.170239930542792
RamDA_00h_D12	cluster_6	00h	0.194209536620278	0.483376428106649	0.353766523235403
